0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182
12,11,6,4,4,3,3,3,5.0,5.0,3.0,3.0,4.0,5.0,7.0,5.0,2.0,3.0,4.0,17.0,15.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11,5,5,3,4,3,7,4.0,7.0,3.0,6.0,2.0,16.0,7.0,14.0,60.0,3.0,7.0,19.0,7.0,3.0,4.0,5.0,15.0,5.0,15.0,6.0,20.0,3.0,17.0,3.0,4.0,7.0,16.0,2.0,13.0,21.0,5.0,15.0,7.0,17.0,15.0,15.0,60.0,3.0,3.0,18.0,7.0,12.0,10.0,3.0,7.0,12.0,5.0,9.0,4.0,4.0,2.0,11.0,17.0,9.0,11.0,11.0,3.0,5.0,12.0,5.0,8.0,3.0,5.0,1.0,5.0,1.0,3.0,1.0,7.0,1.0,3.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11,5,5,5,4,3,2,4.0,7.0,60.0,3.0,5.0,6.0,4.0,3.0,7.0,3.0,7.0,17.0,7.0,7.0,12.0,7.0,7.0,2.0,4.0,3.0,16.0,2.0,7.0,3.0,5.0,3.0,3.0,18.0,6.0,21.0,60.0,14.0,13.0,14.0,16.0,4.0,7.0,23.0,4.0,14.0,3.0,11.0,4.0,8.0,7.0,8.0,16.0,11.0,16.0,8.0,5.0,5.0,16.0,2.0,22.0,2.0,4.0,2.0,4.0,1.0,60.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11,7,7,7,4,4,2,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,2.0,7.0,17.0,4.0,4.0,7.0,17.0,6.0,7.0,6.0,7.0,3.0,18.0,7.0,5.0,21.0,2.0,4.0,18.0,23.0,16.0,17.0,19.0,17.0,13.0,13.0,5.0,5.0,7.0,20.0,2.0,3.0,6.0,15.0,7.0,18.0,4.0,7.0,4.0,21.0,3.0,18.0,10.0,7.0,14.0,21.0,5.0,18.0,60.0,18.0,7.0,13.0,6.0,10.0,3.0,9.0,3.0,10.0,1.0,4.0,1.0,9.0,1.0,4.0,1.0,11.0,1.0,6.0,1.0,6.0,1.0,5.0,1.0,3.0,1.0,2.0,1.0,5.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11,7,7,3,7,5,7,4.0,5.0,11.0,7.0,7.0,14.0,8.0,4.0,4.0,4.0,5.0,2.0,2.0,7.0,7.0,60.0,6.0,3.0,7.0,3.0,4.0,5.0,20.0,3.0,19.0,4.0,14.0,2.0,8.0,17.0,3.0,12.0,5.0,17.0,6.0,12.0,4.0,7.0,8.0,7.0,8.0,7.0,5.0,4.0,4.0,17.0,6.0,2.0,5.0,13.0,3.0,11.0,5.0,13.0,3.0,3.0,3.0,18.0,3.0,18.0,3.0,4.0,1.0,3.0,1.0,17.0,1.0,12.0,1.0,3.0,1.0,17.0,1.0,14.0,1.0,8.0,1.0,9.0,1.0,5.0,1.0,3.0,1.0,5.0,1.0,4.0,1.0,7.0,1.0,4.0,1.0,14.0,1.0,14.0,1.0,3.0,1.0,14.0,1.0,11.0,1.0,5.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11,5,4,3,4,3,4,3.0,3.0,10.0,7.0,7.0,7.0,3.0,3.0,2.0,2.0,2.0,3.0,5.0,15.0,3.0,2.0,4.0,6.0,3.0,7.0,5.0,17.0,4.0,5.0,7.0,14.0,5.0,3.0,9.0,15.0,5.0,3.0,7.0,3.0,4.0,4.0,3.0,23.0,14.0,14.0,9.0,17.0,8.0,2.0,7.0,17.0,9.0,14.0,4.0,20.0,1.0,3.0,1.0,18.0,1.0,4.0,1.0,15.0,1.0,3.0,1.0,15.0,1.0,2.0,1.0,7.0,1.0,18.0,1.0,3.0,1.0,4.0,1.0,14.0,1.0,8.0,1.0,6.0,1.0,2.0,1.0,8.0,1.0,4.0,1.0,7.0,1.0,4.0,1.0,15.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11,5,4,4,4,6,7,7.0,7.0,4.0,8.0,3.0,2.0,4.0,3.0,3.0,4.0,15.0,2.0,4.0,1.0,7.0,2.0,3.0,14.0,15.0,14.0,7.0,7.0,7.0,4.0,7.0,4.0,18.0,60.0,15.0,7.0,3.0,4.0,7.0,4.0,14.0,3.0,60.0,3.0,20.0,15.0,17.0,11.0,4.0,4.0,60.0,4.0,8.0,7.0,2.0,14.0,11.0,9.0,5.0,13.0,3.0,4.0,4.0,5.0,12.0,12.0,12.0,5.0,12.0,11.0,11.0,12.0,8.0,8.0,5.0,5.0,3.0,5.0,2.0,2.0,5.0,2.0,5.0,2.0,5.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11,4,7,3,4,3,5,7.0,8.0,12.0,2.0,12.0,7.0,9.0,60.0,5.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,9.0,7.0,8.0,23.0,7.0,3.0,2.0,5.0,4.0,14.0,3.0,7.0,7.0,2.0,18.0,17.0,3.0,10.0,4.0,4.0,11.0,4.0,3.0,3.0,5.0,15.0,8.0,15.0,3.0,11.0,8.0,8.0,3.0,6.0,3.0,6.0,7.0,6.0,14.0,2.0,11.0,3.0,5.0,3.0,5.0,3.0,5.0,1.0,3.0,1.0,9.0,1.0,5.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11,5,7,3,7,2,7,9.0,2.0,4.0,3.0,7.0,3.0,6.0,3.0,3.0,9.0,5.0,9.0,6.0,7.0,12.0,4.0,13.0,5.0,7.0,13.0,3.0,12.0,60.0,14.0,3.0,8.0,5.0,4.0,3.0,3.0,19.0,5.0,3.0,5.0,5.0,5.0,4.0,7.0,4.0,1.0,4.0,2.0,13.0,7.0,3.0,3.0,2.0,5.0,14.0,3.0,11.0,5.0,60.0,22.0,8.0,4.0,8.0,15.0,4.0,13.0,60.0,8.0,9.0,4.0,8.0,11.0,8.0,8.0,6.0,11.0,5.0,4.0,2.0,3.0,1.0,15.0,1.0,10.0,1.0,10.0,1.0,60.0,1.0,7.0,1.0,9.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11,4,7,4,5,4,4,4.0,3.0,4.0,3.0,4.0,5.0,3.0,15.0,18.0,12.0,1.0,7.0,2.0,7.0,4.0,12.0,3.0,3.0,17.0,3.0,2.0,13.0,4.0,2.0,18.0,7.0,5.0,2.0,7.0,3.0,7.0,60.0,15.0,5.0,18.0,11.0,15.0,3.0,7.0,6.0,15.0,11.0,3.0,5.0,12.0,4.0,13.0,3.0,15.0,17.0,3.0,12.0,17.0,15.0,5.0,11.0,4.0,8.0,60.0,2.0,7.0,8.0,7.0,5.0,18.0,4.0,20.0,8.0,18.0,11.0,21.0,5.0,3.0,3.0,7.0,5.0,20.0,3.0,14.0,1.0,9.0,1.0,9.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
